name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Quartz(beta),NA,SiO2,cr,NA,NA,2023-05-14,CGL,J,-854955,44.75,44.75,44.75,-854955,60.21,11.52e-3,-1.68E+06,NA,NA,NA,NA,NA
Brucite,NA,Mg(OH)2,cr,NA,NA,2023-05-14,CGL,J,-831991,-924142,59.427,77.27,24.63,102.2,15.11e-3,-2.62E+06,NA,NA,NA,NA,NA
Magnesite(Synth),NA,MgCO3,cr,NA,NA,2023-05-14,CGL,J,-1029509,-1113300,65.1,76.09,28.018,81.12,52.25e-3,-1.83E+06,NA,NA,NA,NA,NA
Antigorite,NA,Mg48Si34O85(OH)62,cr,NA,NA,2023-05-14,CGL,J,-66126875,-71417980,3591,4370.46,1754.8,5074.25,2253.72e-3,-1.22E+08,NA,NA,NA,NA,NA
Talc,NA,Mg3Si4O10(OH)2,cr,NA,NA,2023-05-14,CGL,J,-5512253,-5892100,260.831,320.59,136.25,420.72,90.46e-3,-1.13E+07,NA,NA,NA,NA,NA
Diaspore,NA,AlO(OH),cr,NA,NA,2023-05-14,CGL,J,-922740,-1001300,35.3,53.33,17.76,53.33,0.00e-3,0.00e5,NA,NA,NA,NA,NA
Spinel,NA,MgAl2O4,cr,NA,NA,2023-05-14,CGL,J,-2163153,-2288063,80.626,116.16,39.71,153.86,26.84e-3,-4.06E+06,NA,NA,NA,NA,NA
Hydrotalcite(CO3),NA,Mg4Al2(OH)12(CO3):2H2O,cr,NA,NA,2023-05-14,CGL,J,-6354321,-7078880,552.07,604.15,231.441,604.15,0.00e-3,0.00e5,NA,NA,NA,NA,NA
Kaolinite,NA,Al2Si2O5(OH)4,cr,NA,NA,2023-05-14,CGL,J,-3793935,-4115300,200.9,243.37,99.34,277.18,130.42e-3,-6.46E+06,NA,NA,NA,NA,NA
Pyrophyllite,NA,Al2Si4O10(OH)2,cr,NA,NA,2023-05-14,CGL,J,-5266110,-5640000,239.4,293.76,128.1,314.07,198.15e-3,-7.06E+06,NA,NA,NA,NA,NA
Clinochlore,NA,Mg5Al(AlSi3)O10(OH)8,cr,NA,NA,2023-05-14,CGL,J,-8250584,-8909590,435.15,516.34,211.47,631.95,282.68e-3,-1.78E+07,NA,NA,NA,NA,NA
Sudoite,NA,Mg2Al4Si3O10(OH)8,cr,NA,NA,2023-05-14,CGL,J,-7995298,-8655270,390.5,509.72,205.1,557.84,351.23e-3,-1.36E+07,NA,NA,NA,NA,NA
Amesite,NA,Mg4Al2(Al2Si2)O10(OH)8,cr,NA,NA,2023-05-14,CGL,J,-8365841,-9035900,403.2,516.34,205.2,631.95,282.68e-3,-1.78E+07,NA,NA,NA,NA,NA
Muscovite(ordered),NA,KAl2(AlSi3)O10(OH)2,cr,NA,NA,2023-05-14,CGL,J,-5608397,-5990000,287.7,326,140.81,335.8,232.25e-3,-7.03E+06,NA,NA,NA,NA,NA
Celadonite,NA,K(MgAl)Si4O10(OH)2,cr,NA,NA,2023-05-14,CGL,J,-5455644,-5834736,291,325.75,139.68,357.08,205.51e-3,-8.23E+06,NA,NA,NA,NA,NA
Phlogopite,NA,KMg3(AlSi3)O10(OH)2,cr,NA,NA,2023-05-14,CGL,J,-5829459,-6215000,315.9,353.6,149.66,400.17,163.02e-3,-8.46E+06,NA,NA,NA,NA,NA
Microcline,NA,K(AlSi3)O8,cr,NA,NA,2023-05-14,CGL,J,-3749253,-3974600,214.2,202.2,108.72,210.56,129.53e-3,-4.18E+06,NA,NA,NA,NA,NA
Sanidine,NA,K(AlSi3)O8,cr,NA,NA,2023-05-14,CGL,J,-3745798,-3965600,232.8,204.55,109.008,206.22,142.00e-3,-3.91E+06,NA,NA,NA,NA,NA
Paragonite,NA,NaAl2(AlSi3)O10(OH)2,cr,NA,NA,2023-05-14,CGL,J,-5556726,-5937500,277.1,320.79,132.53,349.98,200.51e-3,-7.91E+06,NA,NA,NA,NA,NA
Albite(low),NA,NaAlSi3O8,cr,NA,NA,2023-05-14,CGL,J,-3711615,-3935000,207.4,205.14,100.07,221.09,117.14e-3,-4.52E+06,NA,NA,NA,NA,NA
Calcite,NA,CaCO3,cr,NA,NA,2023-05-14,CGL,J,-1129109,-1207605,91.78,83.47,36.934,99.72,26.92e-3,-2.16E+06,NA,NA,NA,NA,NA
Dolomite(disordered),NA,CaMg(CO3)2,cr,NA,NA,2023-05-14,CGL,J,-2157335,-2316698,166.691,157.72,64.39,187.07,74.39e-3,-4.58E+06,NA,NA,NA,NA,NA
Dolomite(ordered),NA,CaMg(CO3)2,cr,NA,NA,2023-05-14,CGL,J,-2166151,-2328944,155.185,157.51,64.34,153.85,116.66e-3,-2.77E+06,NA,NA,NA,NA,NA
Dolomite,NA,CaMg(CO3)2,cr,NA,NA,2023-05-14,CGL,J,-2161707,-2324500,155.185,157.51,64.365,153.85,116.66e-3,-2.77E+06,NA,NA,NA,NA,NA
